# R10_sample
k191_104240_1	K02078
k191_52216_2	K10822
k191_417028_1	K03320
k191_102_1	K03741
k191_469181_1	K03525
k191_469182_1	K03098
k191_208588_2	K02662
k191_156466_2	K02039
k191_104357_1	K02895
k191_260714_1	K09811
k191_104358_1	K21929
k191_208591_1	K03630
k191_312858_1	K06888
k191_417031_1	K03119
k191_364967_1	K01989
k191_156470_1	K06442
k191_208595_1	K06215
k191_364968_2	K00174
k191_417034_1	K13895
k191_417034_1	K02034
k191_260723_3	K02275
k191_104369_1	K07492
k191_208601_1	K03553
k191_364973_1	K08994
k191_104371_1	K19092
k191_469197_1	K01810
k191_156480_2	K00971
k191_364976_1	K00655
k191_312869_2	K00560
k191_312872_1	K06998
k191_104375_1	K07403
k191_121_1	K03469
k191_104376_1	K00426
k191_104376_2	K00426
k191_104378_1	K00526
k191_469203_1	K01056
k191_469203_2	K02897
k191_312878_1	K06287
k191_417042_1	K01104
k191_52241_1	K01915
k191_417045_1	K02996
k191_128_1	K08726
k191_260742_1	K06941
k191_417049_2	K06217
k191_208611_1	K01714
k191_260743_1	K00600
k191_52250_1	K09928
k191_156499_1	K04077
k191_104389_1	K01810
k191_156500_1	K02338
k191_260746_1	K04088
k191_312888_2	K00570
k191_208616_1	K22881
k191_312889_1	K03630
k191_417052_1	K11212
k191_52255_1	K07486
k191_52256_1	K01756
k191_469221_1	K03424
k191_260749_2	K02026
k191_469222_1	K01061
k191_144_1	K01912
k191_417054_2	K21394
k191_208622_1	K02600
k191_417056_1	K02945
k191_417057_1	K06891
k191_104398_1	K01607
k191_469224_1	K07499
k191_469224_2	K07494
k191_104399_1	K01596
k191_148_1	K00033
k191_149_2	K07735
k191_312899_1	K03611
k191_260758_1	K01251
k191_365006_1	K00507
k191_312904_1	K00790
k191_104404_1	K00343
k191_260762_2	K02874
k191_156516_1	K20074
k191_260764_1	K07462
k191_104408_1	K21162
k191_365013_1	K01887
k191_208640_1	K01698
k191_104411_1	K07497
k191_208641_1	K04564
k191_365015_1	K00766
k191_417068_1	K09456
k191_312911_1	K02994
k191_417069_1	K01716
k191_161_1	K09803
k191_312915_1	K07486
k191_156528_1	K01218
k191_469244_1	K05606
k191_469245_1	K01937
k191_417073_1	K06909
k191_260767_2	K00507
k191_312921_1	K00963
k191_156531_2	K07152
k191_52280_1	K02838
k191_167_1	K02950
k191_312923_1	K04754
k191_365027_1	K06997
k191_170_1	K01523
k191_417081_1	K03665
k191_469252_1	K01975
k191_104426_2	K07483
k191_104427_1	K07240
k191_104430_1	K07486
k191_260775_1	K01685
k191_104431_1	K02994
k191_156541_1	K03590
k191_469260_1	K01698
k191_52288_1	K10111
k191_417089_1	K01620
k191_469261_1	K02004
k191_312933_1	K01990
k191_365030_2	K07046
k191_52290_1	K07560
k191_181_1	K07486
k191_182_1	K09710
k191_52292_1	K01209
k191_260781_1	K07037
k191_208661_1	K02259
k191_417094_2	K02834
k191_156544_1	K03587
k191_185_1	K03652
k191_312937_1	K12941
k191_186_1	K00549
k191_469269_2	K06015
k191_104445_1	K00163
k191_312940_1	K06013
k191_365034_1	K04771
k191_208664_1	K02433
k191_208664_1	K01426
k191_312941_1	K03040
k191_52297_2	K19411
k191_156548_1	K05936
k191_52298_1	K01607
k191_194_1	K03704
k191_260790_1	K03531
k191_469272_1	K07486
k191_104449_2	K02879
k191_312946_1	K01448
k191_156553_1	K01858
k191_208667_1	K09921
k191_208667_2	K03733
k191_208667_2	K04763
k191_312949_1	K03778
k191_469277_1	K07486
k191_260798_1	K07447
k191_52307_1	K00286
k191_365041_1	K03497
k191_365041_2	K03496
k191_365041_3	K03501
k191_156558_1	K02004
k191_365042_1	K17103
k191_469280_1	K07493
k191_104454_1	K00573
k191_260800_2	K07484
k191_104456_1	K04518
k191_312954_1	K19222
k191_104457_1	K01623
k191_469282_1	K11785
k191_52310_2	K03088
k191_417118_1	K02034
k191_210_1	K01495
k191_52311_1	K17713
k191_211_2	K07979
k191_156567_1	K03551
k191_417125_1	K18476
k191_260811_1	K01989
k191_208686_1	K07404
k191_365052_2	K22210
k191_52317_1	K11477
k191_214_1	K09883
k191_469288_1	K01623
k191_215_1	K07793
k191_104468_1	K00549
k191_156570_1	K02379
k191_417128_1	K01069
k191_52319_1	K00036
k191_52321_1	K02046
k191_156573_1	K10773
k191_260818_1	K07273
k191_208692_1	K07018
k191_219_1	K11178
k191_156574_2	K02963
k191_52323_1	K04564
k191_104471_1	K07223
k191_208693_1	K06213
k191_221_1	K03282
k191_156575_1	K01858
k191_469293_1	K01679
k191_260820_1	K00459
k191_469294_1	K08591
k191_222_1	K15975
k191_365056_1	K00605
k191_312970_1	K00600
k191_156577_1	K03040
k191_208696_1	K03641
k191_365059_1	K16639
k191_104475_1	K00626
k191_365062_1	K22622
k191_417139_1	K01937
k191_260828_1	K00981
k191_312975_1	K07486
k191_365067_1	K01816
k191_365068_1	K03641
k191_469307_1	K00331
k191_208703_2	K01613
k191_104482_1	K01676
k191_365070_1	K02946
k191_208704_1	K07486
k191_104483_1	K03590
k191_228_1	K06041
k191_228_2	K03270
k191_260835_1	K00053
k191_417140_1	K07460
k191_104484_2	K02110
k191_365072_1	K03594
k191_312983_1	K02959
k191_312983_2	K06960
k191_52334_2	K03466
k191_365074_1	K01273
k191_104486_1	K02886
k191_365075_1	K00588
k191_365076_1	K03464
k191_469313_2	K02503
k191_156594_1	K03979
k191_104489_1	K07793
k191_260841_1	K00798
k191_208711_1	K02982
k191_417144_1	K01735
k191_417144_2	K00798
k191_156596_1	K04077
k191_208714_1	K03545
k191_365080_1	K07736
k191_365081_1	K02926
k191_238_1	K01596
k191_365082_1	K07171
k191_156598_1	K15371
k191_104494_2	K10822
k191_469316_2	K02913
k191_469316_3	K02601
k191_52341_1	K01273
k191_312992_1	K01470
k191_260849_1	K01419
k191_469318_1	K00986
k191_52343_1	K02967
k191_365087_1	K07486
k191_469321_1	K11749
k191_260852_1	K06445
k191_208721_1	K01689
k191_52345_1	K04564
k191_469323_1	K03406
k191_244_2	K02078
k191_469326_2	K00794
k191_365091_1	K03829
k191_156606_1	K09457
k191_208726_2	K02982
k191_52348_1	K00065
k191_52348_1	K00046
k191_52348_1	K00059
k191_156607_1	K01251
k191_365092_1	K01997
k191_247_2	K01885
k191_156610_1	K07106
k191_417161_1	K02034
k191_365098_1	K00606
k191_260863_1	K02004
k191_104507_1	K07496
k191_365101_1	K06886
k191_251_1	K03550
k191_52356_1	K01989
k191_313009_1	K10979
k191_104511_1	K12132
k191_260867_1	K02519
k191_104512_1	K02358
k191_52361_1	K06911
k191_208738_2	K02226
k191_208738_3	K02233
k191_417173_1	K04078
k191_417174_1	K07482
k191_52362_1	K01447
k191_104515_1	K04751
k191_52364_1	K07336
k191_469340_2	K01998
k191_260872_1	K10822
k191_313014_2	K03790
k191_208741_1	K07497
k191_365105_1	K00721
k191_313015_1	K03621
k191_208742_1	K13626
k191_208742_2	K03563
k191_469341_1	K01916
k191_260875_1	K03704
k191_365109_2	K03664
k191_260_1	K00948
k191_208745_1	K22278
k191_417182_2	K03635
k191_262_1	K22737
k191_52375_1	K08316
k191_365110_2	K03719
k191_208747_1	K07497
k191_469345_1	K00930
k191_417187_1	K21908
k191_469347_2	K02988
k191_469347_3	K02876
k191_265_1	K15554
k191_265_1	K02050
k191_469348_1	K21395
k191_469349_2	K07068
k191_260880_2	K23359
k191_104524_2	K22082
k191_260882_1	K02033
k191_156634_1	K01953
k191_365119_1	K00950
k191_365119_2	K01633
k191_104530_1	K01273
k191_313028_1	K01555
k191_156636_1	K17725
k191_417197_1	K03671
k191_313030_1	K09009
k191_208754_2	K15520
k191_469353_2	K01999
k191_104533_2	K04077
k191_469354_2	K02956
k191_313033_1	K11178
k191_365127_1	K07494
k191_208757_1	K04077
k191_469356_1	K02437
k191_208758_1	K01494
k191_469358_1	K01989
k191_469359_1	K02986
k191_280_2	K00077
k191_469361_1	K02078
k191_281_1	K07486
k191_52395_2	K02954
k191_52395_3	K02931
k191_417203_1	K02664
k191_260897_1	K12574
k191_365130_1	K06213
k191_313038_1	K06941
k191_104540_1	K13292
k191_313039_1	K07032
k191_469366_1	K09927
k191_286_1	K01689
k191_208763_1	K01621
k191_52400_1	K02004
k191_156646_2	K07046
k191_104543_2	K01621
k191_156649_1	K03644
k191_313042_2	K00075
k191_260902_1	K10822
k191_260902_2	K01995
k191_260902_2	K10822
k191_208767_1	K01999
k191_52403_2	K00344
k191_156652_1	K03040
k191_469372_2	K10914
k191_365131_2	K02200
k191_365131_3	K02199
k191_365131_4	K02198
k191_156654_2	K07460
k191_52404_1	K00946
k191_52404_2	K06925
k191_313045_1	K07077
k191_260907_1	K03734
k191_260908_1	K03088
k191_52405_2	K00600
k191_313046_1	K03427
k191_365134_1	K02004
k191_260911_1	K03075
k191_296_1	K01768
k191_365135_1	K13282
k191_156659_1	K00661
k191_365138_1	K01179
k191_417214_2	K21929
k191_304_1	K02527
k191_313057_1	K00912
k191_260917_1	K04077
k191_307_1	K01972
k191_365141_2	K03149
k191_52414_2	K03075
k191_313060_1	K02503
k191_156665_1	K02935
k191_208779_1	K01209
k191_156666_1	K09768
k191_260920_2	K03075
k191_104560_1	K01061
k191_469388_1	K02004
k191_365147_1	K03569
k191_313063_1	K03286
k191_313063_1	K03640
k191_156669_1	K07486
k191_365148_1	K07058
k191_313065_2	K03527
k191_260924_1	K02053
k191_469392_1	K22719
k191_52421_1	K06998
k191_469393_1	K02197
k191_417225_1	K02020
k191_208788_1	K03969
k191_469394_1	K22736
k191_469395_1	K07497
k191_313068_2	K00340
k191_260927_1	K12574
k191_365155_2	K07090
k191_104571_1	K00926
k191_208791_1	K13281
k191_317_1	K07497
k191_313072_1	K01409
k191_208794_1	K00688
k191_52429_1	K00969
k191_52430_1	K02600
k191_469404_1	K03088
k191_469405_1	K02520
k191_260930_1	K11753
k191_313074_1	K03924
k191_156686_1	K01011
k191_417235_1	K09760
k191_260931_1	K00641
k191_469406_1	K00855
k191_104580_1	K01251
k191_365161_2	K07497
k191_52436_1	K03531
k191_260934_1	K00831
k191_325_2	K06911
k191_208799_2	K01997
k191_469409_1	K00986
k191_327_1	K05896
k191_260939_1	K00858
k191_365169_1	K13592
k191_260943_2	K00242
k191_52443_1	K04077
k191_52443_1	K04078
k191_104590_1	K01448
k191_260945_1	K03569
k191_52444_1	K01627
k191_365175_1	K00077
k191_260946_1	K04750
k191_52446_2	K00635
k191_417249_1	K07495
k191_469418_1	K03561
k191_365176_1	K21395
k191_156700_1	K03701
k191_313090_1	K03521
k191_156701_2	K00330
k191_52449_1	K07486
k191_156703_1	K00053
k191_313094_1	K20523
k191_156705_1	K21908
k191_313096_2	K07451
k191_260954_2	K09807
k191_208817_1	K09022
k191_347_1	K01779
k191_417257_2	K02864
k191_313103_2	K02435
k191_104605_1	K07058
k191_104606_1	K02600
k191_260959_1	K07058
k191_469433_1	K00762
k191_469433_2	K03530
k191_357_1	K17226
k191_52463_1	K03719
k191_156720_1	K03088
k191_417261_1	K03305
k191_469435_1	K00600
k191_365190_1	K01868
k191_417262_1	K00663
k191_208826_2	K18672
k191_365191_1	K02970
k191_469437_1	K04077
k191_417265_1	K06118
k191_260968_1	K02895
k191_469441_1	K01989
k191_52467_1	K03046
k191_208834_1	K00759
k191_365202_1	K02034
k191_417270_1	K03551
k191_52470_1	K00012
k191_208837_1	K21310
k191_104619_1	K07264
k191_260973_1	K03737
k191_469449_1	K03523
k191_371_1	K03531
k191_417273_1	K00606
k191_156735_1	K19784
k191_156735_2	K00570
k191_469452_1	K03664
k191_104626_1	K03561
k191_260981_2	K03636
k191_365210_1	K00798
k191_313128_1	K02651
k191_417279_1	K09786
k191_260984_1	K22522
k191_104630_1	K02992
k191_208848_2	K21394
k191_156741_1	K00600
k191_469457_1	K07235
k191_381_2	K01627
k191_208850_1	K02945
k191_104632_1	K02834
k191_156744_1	K06987
k191_469460_1	K03217
k191_313136_1	K04077
k191_417287_1	K00794
k191_384_1	K06893
k191_260990_1	K07090
k191_260991_1	K01919
k191_260993_1	K00371
k191_156747_1	K03549
k191_469468_1	K01689
k191_417293_1	K16969
k191_156751_1	K00457
k191_313145_1	K01610
k191_469470_1	K12510
k191_417294_1	K01867
k191_208864_1	K01507
k191_104642_1	K04079
k191_469473_1	K03527
k191_208865_1	K00548
k191_393_1	K02434
k191_261000_1	K07793
k191_261002_2	K02956
k191_469476_1	K03892
k191_313150_1	K02899
k191_313150_2	K02888
k191_261003_1	K01159
k191_365227_1	K03709
k191_156759_1	K11752
k191_156760_2	K06024
k191_313154_1	K01989
k191_261005_1	K01662
k191_417304_1	K00766
k191_104651_1	K04757
k191_469485_1	K14083
k191_208874_1	K07497
k191_208874_1	K07483
k191_52509_1	K01998
k191_208875_1	K02600
k191_208876_1	K01637
k191_313159_2	K03088
k191_365234_1	K00433
k191_417307_1	K04749
k191_417308_2	K02040
k191_404_2	K01455
k191_313163_1	K11749
k191_156769_1	K07335
k191_365237_1	K01872
k191_469494_1	K02600
k191_313164_1	K09903
k191_261012_1	K00930
k191_208880_1	K03628
k191_208881_1	K02015
k191_365238_1	K07001
k191_365238_2	K01251
k191_408_2	K06901
k191_469497_1	K07152
k191_365240_1	K09989
k191_410_1	K01953
k191_208885_1	K03752
k191_156775_1	K07486
k191_469500_2	K02160
k191_261018_1	K08305
k191_413_1	K04773
k191_156777_1	K02897
k191_156778_1	K02931
k191_156778_2	K02895
k191_417316_2	K01902
k191_313175_1	K13993
k191_208895_1	K13628
k191_417317_1	K02242
k191_313177_1	K03523
k191_417318_1	K03526
k191_104667_2	K06217
k191_156782_1	K02034
k191_365251_1	K18981
k191_104669_2	K02416
k191_104670_2	K00948
k191_156785_1	K00163
k191_418_1	K07160
k191_417323_1	K02946
k191_208901_1	K03699
k191_156788_1	K02002
k191_469513_1	K03526
k191_104675_1	K01920
k191_365259_1	K01953
k191_261033_1	K04069
k191_104676_2	K00971
k191_156792_1	K07220
k191_365263_1	K06153
k191_52530_1	K03797
k191_156793_1	K02004
k191_469518_1	K07793
k191_156794_1	K06996
k191_261040_1	K03088
k191_365265_1	K11960
k191_365265_1	K01997
k191_104678_2	K03657
k191_469523_1	K02886
k191_261041_1	K03631
k191_469524_1	K00163
k191_417335_2	K21195
k191_208915_1	K02004
k191_52535_1	K01546
k191_52536_1	K03564
k191_365268_1	K01997
k191_104682_1	K03551
k191_469526_1	K01624
k191_52538_1	K09928
k191_439_1	K03593
k191_104685_1	K00525
k191_261048_1	K07068
k191_104687_1	K04077
k191_52543_1	K00820
k191_443_1	K04077
k191_52544_2	K11443
k191_156805_1	K01989
k191_104689_1	K07457
k191_104690_1	K01689
k191_156807_1	K01997
k191_52550_1	K06949
k191_208928_1	K01358
k191_208928_2	K01358
k191_365274_1	K07497
k191_365274_2	K07483
k191_469535_1	K01775
k191_365275_1	K04564
k191_208931_1	K02982
k191_451_1	K08223
k191_313212_1	K01595
k191_104696_1	K01649
k191_208933_1	K21470
k191_453_1	K09796
k191_417345_1	K06901
k191_365278_1	K02040
k191_365279_1	K03797
k191_261060_1	K03190
k191_469542_1	K03575
k191_313215_2	K03088
k191_458_1	K03496
k191_313216_1	K03589
k191_469545_1	K03639
k191_52555_1	K01999
k191_313217_1	K21023
k191_417353_1	K07090
k191_208940_1	K07735
k191_417355_1	K00215
k191_104710_1	K04088
k191_156817_1	K09022
k191_469556_2	K00789
k191_313221_1	K13583
k191_208942_2	K02784
k191_208942_3	K06023
k191_156820_1	K21883
k191_365291_1	K07001
k191_365291_2	K01574
k191_469559_1	K03116
k191_469559_2	K06024
k191_208946_1	K01874
k191_104717_1	K03628
k191_52566_2	K02034
k191_476_2	K18843
k191_469561_1	K02051
k191_261081_1	K01805
k191_52570_1	K02034
k191_156825_1	K03544
k191_478_1	K01937
k191_365298_1	K00674
k191_261083_1	K00799
k191_208952_1	K03704
k191_156827_1	K09882
k191_469567_1	K02004
k191_365299_1	K01556
k191_261086_1	K04750
k191_52573_1	K06153
k191_313237_1	K05896
k191_313239_1	K00859
k191_365300_1	K02405
k191_52577_1	K00820
k191_486_1	K00425
k191_417378_1	K01251
k191_313241_1	K01951
k191_52580_1	K01915
k191_488_1	K03924
k191_490_1	K07486
k191_104733_1	K01990
k191_469577_1	K09165
k191_313243_1	K01933
k191_52583_2	K03088
k191_261099_1	K02004
k191_156838_1	K06889
k191_469579_1	K06867
k191_313247_1	K01495
k191_52588_1	K02313
k191_417388_1	K02313
k191_156842_1	K07052
k191_104738_2	K03465
k191_52591_1	K03969
k191_365313_1	K06153
k191_365313_2	K00799
k191_365313_3	K18979
k191_417392_1	K04096
k191_313253_1	K03781
k191_313254_1	K02834
k191_261109_1	K11529
k191_417395_1	K01951
k191_156850_1	K01940
k191_261112_1	K03406
k191_469589_1	K01061
k191_469589_2	K07104
k191_417396_1	K07742
k191_52595_1	K01883
k191_506_1	K06413
k191_313262_1	K02204
k191_417398_2	K07497
k191_156855_1	K22736
k191_208979_1	K03043
k191_261117_1	K06968
k191_365322_1	K00790
k191_156856_1	K04771
k191_52599_1	K00548
k191_365326_1	K01607
k191_313273_1	K09705
k191_261126_1	K01915
k191_261128_1	K03556
k191_517_1	K02959
k191_156864_1	K02200
k191_313278_1	K02945
k191_469606_1	K02435
k191_469606_2	K01579
k191_365330_1	K00873
k191_365331_2	K01354
k191_261133_1	K01246
k191_156868_2	K01689
k191_104760_1	K03821
k191_156869_1	K03832
k191_261134_1	K10979
k191_365333_2	K02931
k191_313286_1	K11529
k191_313287_1	K00343
k191_156875_1	K01937
k191_417421_1	K07497
k191_469618_1	K07482
k191_523_2	K09966
k191_156879_1	K01937
k191_365341_1	K09919
k191_365342_1	K01644
k191_417428_1	K04078
k191_209012_1	K03531
k191_261146_1	K08305
k191_104771_1	K02904
k191_104772_1	K04096
k191_209015_1	K07497
k191_417431_2	K02004
k191_469626_1	K00615
k191_469627_1	K03527
k191_417432_1	K01621
k191_417433_1	K01507
k191_104776_2	K08738
k191_156885_1	K07001
k191_469630_1	K01921
k191_313306_1	K02338
k191_469632_2	K07497
k191_156888_1	K07501
k191_156888_2	K12339
k191_209025_1	K00859
k191_313309_1	K03809
k191_365357_1	K13280
k191_156890_1	K01923
k191_52637_1	K07793
k191_209028_1	K03406
k191_52640_1	K01940
k191_365359_1	K03470
k191_104785_1	K02982
k191_469643_1	K01114
k191_104787_1	K01854
k191_52643_1	K21395
k191_104788_1	K00831
k191_365363_1	K09709
k191_209033_1	K01470
k191_469646_1	K03517
k191_52648_1	K00163
k191_365368_1	K01940
k191_469649_1	K11749
k191_104789_2	K02032
k191_209034_1	K00790
k191_417445_1	K00789
k191_209035_1	K01951
k191_417446_1	K08927
k191_417446_2	K08926
k191_365374_1	K00641
k191_313330_1	K11212
k191_156902_1	K02032
k191_417448_1	K01733
k191_562_1	K02004
k191_365377_1	K06346
k191_365377_2	K03501
k191_261176_1	K01474
k191_209040_1	K03497
k191_417453_2	K00208
k191_209042_1	K02651
k191_104796_1	K07027
k191_52657_1	K21416
k191_52657_1	K00161
k191_313334_1	K10831
k191_313334_1	K02049
k191_417455_1	K01494
k191_104798_1	K00784
k191_417457_1	K02004
k191_104799_1	K03559
k191_261185_1	K03545
k191_313338_1	K01599
k191_469665_1	K02888
k191_52662_1	K01872
k191_417460_1	K01805
k191_417461_1	K03088
k191_365386_1	K01006
k191_572_2	K01669
k191_52666_2	K07497
k191_209056_1	K06929
k191_209056_2	K22476
k191_577_1	K22736
k191_104810_2	K00940
k191_469673_1	K00820
k191_156923_1	K01972
k191_156924_2	K09747
k191_469676_2	K03673
k191_104813_1	K00677
k191_580_1	K03559
k191_313347_1	K01448
k191_104814_1	K00426
k191_52672_1	K03925
k191_261198_1	K13979
k191_365396_2	K15973
k191_209064_1	K03521
k191_209065_1	K01159
k191_104818_2	K02935
k191_469680_1	K03521
k191_52677_1	K03569
k191_261201_1	K07568
k191_104819_1	K02965
k191_104819_2	K02886
k191_209069_1	K11477
k191_52680_1	K03217
k191_417479_1	K07486
k191_589_2	K02878
k191_589_3	K02904
k191_104821_1	K03575
k191_261207_1	K03088
k191_313357_1	K01494
k191_469687_1	K09794
k191_365404_1	K06215
k191_595_1	K01167
k191_261212_1	K07497
k191_417485_2	K08591
k191_104825_1	K12979
k191_209076_1	K02004
k191_417488_1	K01989
k191_469696_1	K01626
k191_313363_1	K01868
k191_313364_2	K10979
k191_469697_1	K00986
k191_156945_1	K03799
k191_602_1	K07486
k191_603_1	K03628
k191_156947_1	K07029
k191_313366_1	K00973
k191_365414_1	K15034
k191_365415_1	K01868
k191_104832_1	K12979
k191_313368_1	K03667
k191_417494_1	K19267
k191_606_1	K02112
k191_156950_1	K00615
k191_52694_2	K07068
k191_209087_1	K03584
k191_261224_1	K03664
k191_52697_1	K10822
k191_261225_2	K02066
k191_156953_2	K00433
k191_469708_2	K01997
k191_52698_1	K08482
k191_261229_2	K03088
k191_156956_1	K02410
k191_365429_2	K09013
k191_417502_1	K14161
k191_261231_1	K01887
k191_469714_2	K03644
k191_261233_1	K16165
k191_365434_1	K02420
k191_469719_1	K01772
k191_104846_2	K21600
k191_52705_1	K02825
k191_313385_1	K07178
k191_469721_1	K03550
k191_261236_1	K03703
k191_261237_1	K03100
k191_417514_1	K01997
k191_156964_1	K02199
k191_469729_1	K07341
k191_209106_2	K14998
k191_104851_1	K02034
k191_469730_1	K03829
k191_261240_1	K03521
k191_313391_1	K02906
k191_104854_1	K01689
k191_209108_1	K07486
k191_417519_1	K06897
k191_104858_1	K05845
k191_365450_1	K00936
k191_417522_1	K00573
k191_209111_1	K02519
k191_104861_1	K00688
k191_365451_1	K03701
k191_417524_1	K07058
k191_156970_1	K00483
k191_417526_1	K01265
k191_469739_1	K02867
k191_365454_1	K03586
k191_365454_2	K03438
k191_104864_1	K02945
k191_417527_1	K06925
k191_313400_1	K09166
k191_209115_2	K02160
k191_209115_3	K02356
k191_104865_1	K00053
k191_104865_2	K01653
k191_639_2	K10947
k191_469743_1	K01889
k191_641_1	K07486
k191_469744_1	K01599
k191_209120_1	K02878
k191_417533_2	K01623
k191_261253_1	K02004
k191_365457_1	K07495
k191_104870_1	K00053
k191_469746_1	K03147
k191_469747_1	K06941
k191_313410_1	K03638
k191_261256_1	K02879
k191_52732_1	K02992
k191_104873_1	K15977
k191_104875_1	K07220
k191_209124_1	K22310
k191_52733_1	K03442
k191_469751_1	K02004
k191_261259_1	K00655
k191_469752_1	K02040
k191_156985_1	K00981
k191_104876_1	K00548
k191_651_1	K07037
k191_261263_1	K00548
k191_652_1	K00688
k191_209132_1	K06215
k191_52741_1	K01752
k191_313419_1	K06153
k191_209134_2	K16079
k191_417547_1	K01919
k191_365471_2	K07492
k191_365474_2	K06911
k191_52744_1	K00799
k191_156999_1	K03781
k191_209140_1	K00982
k191_261268_1	K03628
k191_313427_1	K07071
k191_52748_1	K00548
k191_469764_2	K13587
k191_209144_1	K07152
k191_52751_1	K03705
k191_667_1	K04069
k191_417559_1	K01673
k191_365478_1	K02034
k191_671_1	K01358
k191_417562_1	K07090
k191_209147_1	K02108
k191_209148_1	K01561
k191_157012_1	K07507
k191_417563_2	K03088
k191_261280_1	K01940
k191_157013_1	K22074
k191_313434_1	K09927
k191_52759_1	K01159
k191_209152_1	K06287
k191_417565_1	K00611
k191_104895_1	K01487
k191_157016_1	K02034
k191_469778_1	K03559
k191_365489_1	K03651
k191_313438_1	K11898
k191_157019_1	K04079
k191_261285_1	K02835
k191_104900_1	K06204
k191_52767_2	K07497
k191_52768_1	K01620
k191_261287_1	K02004
k191_688_1	K00241
k191_690_1	K03797
k191_313447_1	K24017
k191_52771_1	K07486
